+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------+------+
|    id    |                                                                          title                                                                           | year |
| 1159922  | Cheerful Weather for the Wedding                                                                                                                         | 2012 |
| 1164982  | The Message                                                                                                                                              | 2012 |
| 1172232  | Where Is Joel Baum?                                                                                                                                      | 2012 |
| 1172587  | Delhi Safari                                                                                                                                             | 2012 |
| 1179259  | Buddies                                                                                                                                                  | 2012 |
| 1183919  | Marley                                                                                                                                                   | 2012 |
| 1185838  | Easy Rider 2: The Ride Home                                                                                                                              | 2012 |
| 1187027  | Jelena, Katarina, Marija                                                                                                                                 | 2012 |
| 1194173  | The Bourne Legacy                                                                                                                                        | 2012 |
| 1194577  | The Door                                                                                                                                                 | 2012 |
| 1195478  | The Five-Year Engagement                                                                                                                                 | 2012 |
| 1205474  | Commander and Chief                                                                                                                                      | 2012 |
| 1205487  | Garbage in the Garden of Eden                                                                                                                            | 2012 |
| 1208711  | The Misadventures of the Dunderheads                                                                                                                     | 2012 |
| 1211890  | Middle of Nowhere                                                                                                                                        | 2012 |
| 1212450  | Lawless                                                                                                                                                  | 2012 |
| 1217209  | Brave                                                                                                                                                    | 2012 |
| 1217213  | Secret of the Wings                                                                                                                                      | 2012 |
| 1220224  | Dropping Evil                                                                                                                                            | 2012 |
| 1220626  | Dust                                                                                                                                                     | 2012 |
| 1222815  | Chimpanzee                                                                                                                                               | 2012 |
| 1226240  | A Late Quartet                                                                                                                                           | 2012 |
| 1230215  | Not Fade Away                                                                                                                                            | 2012 |
| 1232200  | That's My Boy                                                                                                                                            | 2012 |
| 1232829  | 21 Jump Street                                                                                                                                           | 2012 |
| 1234719  | Red Dawn                                                                                                                                                 | 2012 |
| 1234926  | The Awakened                                                                                                                                             | 2012 |
| 1238284  | Clear Lake                                                                                                                                               | 2012 |
| 1239374  | Mariachi Gringo                                                                                                                                          | 2012 |
| 1242658  | Milo                                                                                                                                                     | 2012 |
| 1242715  | The Waters: Phase One                                                                                                                                    | 2012 |
| 1247392  | In God We Trust                                                                                                                                          | 2012 |
| 1253851  | LAID: Life as It's Dealt                                                                                                                                 | 2012 |
| 1258972  | The Man with the Iron Fists                                                                                                                              | 2012 |
| 1260563  | Bridge of Names                                                                                                                                          | 2012 |
| 1260695  | The Vessel                                                                                                                                               | 2012 |
| 1261968  | Watching TV with the Red Chinese                                                                                                                         | 2012 |
| 1265598  | In the Gray                                                                                                                                              | 2012 |
| 1272886  | Small Apartments                                                                                                                                         | 2012 |
| 1274596  | USS Seaviper                                                                                                                                             | 2012 |
| 1276104  | Looper                                                                                                                                                   | 2012 |
| 1276419  | A Royal Affair                                                                                                                                           | 2012 |
| 1276949  | Dixie Times                                                                                                                                              | 2012 |
| 1276962  | How to Make Money Selling Drugs                                                                                                                          | 2012 |
| 1277403  | Supernatural Swamp Slaughter                                                                                                                             | 2012 |
| 1277953  | Madagascar 3: Europe's Most Wanted                                                                                                                       | 2012 |
| 1288650  | Kaleidoscope                                                                                                                                             | 2012 |
| 1291547  | After Porn Ends                                                                                                                                          | 2012 |
| 1293751  | Casting By                                                                                                                                               | 2012 |
| 1293839  | Wreckage of My Past: The Story of Ozzy Osbourne                                                                                                          | 2012 |
| 1294794  | Roulette                                                                                                                                                 | 2012 |
| 1296162  | Leelai                                                                                                                                                   | 2012 |
| 1296172  | The Legends of Nethiah                                                                                                                                   | 2012 |
| 1296881  | Overnight                                                                                                                                                | 2012 |
| 1296885  | Absolute Fear                                                                                                                                            | 2012 |
| 1298530  | Animals                                                                                                                                                  | 2012 |
| 1298649  | The Watch                                                                                                                                                | 2012 |
| 1298655  | The Wit of the Staircase: The Life and Work of Robert Jordan                                                                                             | 2012 |
| 1301308  | Mixed Kebab                                                                                                                                              | 2012 |
| 1307068  | Seeking a Friend for the End of the World                                                                                                                | 2012 |
| 1308729  | Bullet to the Head                                                                                                                                       | 2012 |
| 1308747  | Apples and Oranges                                                                                                                                       | 2012 |
| 1310653  | Man from Shaolin                                                                                                                                         | 2012 |
| 1312238  | Mostro                                                                                                                                                   | 2012 |
| 1315924  | Reencarnación: Una historia de amor                                                                                                                      | 2012 |
| 1316033  | Becoming Blond                                                                                                                                           | 2012 |
| 1319709  | The Diary of Preston Plummer                                                                                                                             | 2012 |
| 1321862  | Back to the Jurassic                                                                                                                                     | 2012 |
| 1323044  | Freeloaders                                                                                                                                              | 2012 |
| 1323529  | Nightmare Fuel                                                                                                                                           | 2012 |
| 1326201  | Complacent                                                                                                                                               | 2012 |
| 1327182  | Fuzz Track City                                                                                                                                          | 2012 |
| 1327194  | The Lucky One                                                                                                                                            | 2012 |
| 1327196  | 1 Nighter                                                                                                                                                | 2012 |
| 1327602  | Two Days in February                                                                                                                                     | 2012 |
| 1329177  | K-11                                                                                                                                                     | 2012 |
| 1329232  | St George's Day                                                                                                                                          | 2012 |
| 1329404  | The Mine                                                                                                                                                 | 2012 |
| 1331094  | Cagefighter                                                                                                                                              | 2012 |
| 1331124  | Under the Olive Tree                                                                                                                                     | 2012 |
| 1331294  | The Apostle                                                                                                                                              | 2012 |
| 1335982  | Cartoon College                                                                                                                                          | 2012 |
| 1336608  | Rock of Ages                                                                                                                                             | 2012 |
| 1337525  | Limen [Omission]                                                                                                                                         | 2012 |
| 1341718  | Fairhaven                                                                                                                                                | 2012 |
| 1341749  | The Money Fix                                                                                                                                            | 2012 |
| 1342848  | Dark Journey                                                                                                                                             | 2012 |
| 1343727  | Dredd                                                                                                                                                    | 2012 |
| 1344366  | BBA: The Unsung Ballad of the Rise & Fall of the World's Worst Band                                                                                      | 2012 |
| 1344811  | Brothers on the Line                                                                                                                                     | 2012 |
| 1345836  | The Dark Knight Rises                                                                                                                                    | 2012 |
| 1346849  | A Few Brains More                                                                                                                                        | 2012 |
| 1352753  | A Night at the Silent Movie Theater                                                                                                                      | 2012 |
| 1356415  | Zombiefied                                                                                                                                               | 2012 |
| 1356939  | Betty I Am                                                                                                                                               | 2012 |
| 1362058  | Cockneys vs Zombies                                                                                                                                      | 2012 |
| 1366365  | The Cold Light of Day                                                                                                                                    | 2012 |
| 1367236  | Mold!                                                                                                                                                    | 2012 |
| 1368440  | Branded                                                                                                                                                  | 2012 |
| 1368858  | The Forger                                                                                                                                               | 2012 |
| 1368870  | Ticket Out                                                                                                                                               | 2012 |
| 1369696  | Skyler                                                                                                                                                   | 2012 |
| 1371081  | Long Shot: The Kevin Laue Story                                                                                                                          | 2012 |
| 1371111  | Cloud Atlas                                                                                                                                              | 2012 |
| 1374992  | Upside Down                                                                                                                                              | 2012 |
| 1376168  | Comedown                                                                                                                                                 | 2012 |
| 1379206  | Doug Stanhope's the Unbookables                                                                                                                          | 2012 |
| 1381404  | The Company You Keep                                                                                                                                     | 2012 |
| 1383708  | Miss Communication                                                                                                                                       | 2012 |
| 1385591  | Diamond Heist                                                                                                                                            | 2012 |
| 1386703  | Total Recall                                                                                                                                             | 2012 |
| 1389096  | Stand Up Guys                                                                                                                                            | 2012 |
| 1390398  | Bless Me, Ultima                                                                                                                                         | 2012 |
| 1392170  | The Hunger Games                                                                                                                                         | 2012 |
| 1395025  | Agent Vinod                                                                                                                                              | 2012 |
| 1396226  | Twice Born                                                                                                                                               | 2012 |
| 1397280  | Taken 2                                                                                                                                                  | 2012 |
| 1397514  | Journey 2: The Mysterious Island                                                                                                                         | 2012 |
| 1398991  | Thursday Till Sunday                                                                                                                                     | 2012 |
| 1403214  | Paradise: Love                                                                                                                                           | 2012 |
| 1405365  | Celeste & Jesse Forever                                                                                                                                  | 2012 |
| 1409024  | Men in Black 3                                                                                                                                           | 2012 |
| 1410061  | Street Apostle                                                                                                                                           | 2012 |
| 1411274  | Finnish Blood Swedish Heart                                                                                                                              | 2012 |
| 1411696  | Haight Ashbury: the Beat of a Generation                                                                                                                 | 2012 |
| 1412505  | Recon: A Filmmaker's Quest                                                                                                                               | 2012 |
| 1412592  | Can                                                                                                                                                      | 2012 |
| 1414404  | To Be King                                                                                                                                               | 2012 |
| 1418380  | The Domino Effect                                                                                                                                        | 2012 |
| 1418712  | Outpost: Black Sun                                                                                                                                       | 2012 |
| 1418927  | Smoke Screen                                                                                                                                             | 2012 |
| 1419769  | Drunk in Public                                                                                                                                          | 2012 |
| 1421053  | The Search for Kennyboy                                                                                                                                  | 2012 |
| 1422916  | One Hit from Home                                                                                                                                        | 2012 |
| 1424310  | Chinese Zodiac                                                                                                                                           | 2012 |
| 1427220  | Heart Land                                                                                                                                               | 2012 |
| 1427888  | Inertia                                                                                                                                                  | 2012 |
| 1430615  | Big Miracle                                                                                                                                              | 2012 |
| 1430620  | Kiss the Abyss                                                                                                                                           | 2012 |
| 1430625  | Payback                                                                                                                                                  | 2012 |
| 1430626  | The Pirates! Band of Misfits                                                                                                                             | 2012 |
| 1430811  | Deadline                                                                                                                                                 | 2012 |
| 1433183  | Sleeper                                                                                                                                                  | 2012 |
| 1433343  | The Eves                                                                                                                                                 | 2012 |
